"Product name ","Short Description","SKU","Attr - Colour","Attr - Colour Value"
"P30 Basin Mixer Single Lever","","AF300201CHBR","Colour ","Chrome"
"P30 Basin Mixer Single Lever Extension Body","","AF300206CHBR","Colour ","Chrome"
"P30 Wall Mounted Single Lever Basin Mixer with 2 mm Thick Solid Flange","","AF300216CHBR","Colour ","Chrome"
"P30 Pillar Cock","","AF300101CHBR","Colour ","Chrome"
"P30 Pillar Cock Extended Body","","AF300106CHBR","Colour ","Chrome"
"P30 Basin MixerCentral Hole","","AF300121CHBR","Colour ","Chrome"
"P30 Wall Mounted Basin Cock with Spout and Operating Lever","","AF300111CHBR","Colour ","Chrome"
"P30 Single Lever Concealed Diverter","","AF300301CHBR","Colour ","Chrome"
"P30 Single Lever High Flow Concealed Diverter","","AF300321CHBR","Colour ","Chrome"
"P30 Single Lever 3 Inlet Concealed Diverter","","AF300311CHBR","Colour ","Chrome"
"P30 Wall Mixer 3-in-1System with Provision for Hand Shower and Over Head Shower","","AF300136CHBR","Colour ","Chrome"
"P30 Wall Mixer 2-in-1 System with Provision for Over Head Shower","","AF300141CHBR","Colour ","Chrome"
"P30 Bath Spout","","AF300331CHBR","Colour ","Chrome"
"P30 Bath Spout with Tipton","","AF300336CHBR","Colour ","Chrome"
"P30 Sink Cock Wall Mounted with 150 mm Swinging Spout","","AF300176CHBR","Colour ","Chrome"
"P30 Sink Cock Table Mounted with 150 mm Swinging Spout","","AF300186CHBR","Colour ","Chrome"
"P30 Sink Mixer Wall Mounted with 150 mm Swinging Spout","","AF300196CHBR","Colour ","Chrome"
"P30 Bib Cock Long Body","","AF300156CHBR","Colour ","Chrome"
"P30 Bib Cock 2 Way","","AF300161CHBR","Colour ","Chrome"
"P30 Concealed Flush Cock","","AF300126CHBR","Colour ","Chrome"
"P30 Concealed Stop Cock-15 mm","","AF300126CHBR","Colour ","Chrome"
"P30 Concealed Stop Cock-20 mm","","AF300126CHBR","Colour ","Chrome"
"P30 Angle Cock","","AF300166CHBR","Colour ","Chrome"
"P30 Angle Cock 2 Way","","AF300171CHBR","Colour ","Chrome"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
