"SKU","Image URL"
"AF300201CHBR","http://localhost/astral-image/A1---AF300201CHBR---Basin-M.png  ||  http://localhost/astral-image/A1---AF300201CHBR---Basin-M.png "
"AF300206CHBR","http://localhost/astral-image/A1---AF300206CHBR---Basin-M.png ||  http://localhost/astral-image/A1---AF300206CHBR---Basin-M.png"
"AF300216CHBR","http://localhost/astral-image/A1---AF300216CHBR---Exposed.png ||  http://localhost/astral-image/A1---AF300216CHBR---Exposed.png"
"AF300101CHBR","http://localhost/astral-image/A1---AF300101CHBR---Pillar-.png ||  http://localhost/astral-image/A1---AF300101CHBR---Pillar-.png"
"AF300106CHBR","http://localhost/astral-image/A1---AF300106CHBR---Pillar-.png ||  http://localhost/astral-image/A1---AF300106CHBR---Pillar-.png"
"AF300121CHBR","http://localhost/astral-image/A1---AF300121CHBR---Basin-M.png ||  http://localhost/astral-image/A1---AF300121CHBR---Basin-M.png"
"AF300111CHBR","http://localhost/astral-image/A1---AF300111CHBR---Exposed.png ||  http://localhost/astral-image/A1---AF300111CHBR---Exposed.png"
"AF300301CHBR","http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png ||  http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png"
"AF300321CHBR","http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png ||  http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png"
"AF300311CHBR","http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png ||  http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png"
"AF300136CHBR","http://localhost/astral-image/shower/A1---AF300136CHBR---Wall-Mi.png ||  http://localhost/astral-image/shower/A1---AF300136CHBR---Wall-Mi.png"
"AF300141CHBR","http://localhost/astral-image/shower/A1---AF300141CHBR---Wall-Mi.png ||  http://localhost/astral-image/shower/A1---AF300141CHBR---Wall-Mi.png"
"AF300331CHBR","http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png ||  http://localhost/astral-image/shower/A1---AF300301CHBR---Exposed.png"
"AF300336CHBR","http://localhost/astral-image/shower/A1---AF300336CHBR---Bathtub.png ||  http://localhost/astral-image/shower/A1---AF300336CHBR---Bathtub.png"
"AF300176CHBR","http://localhost/astral-image/kitchen/A1---AF300176CHBR---Sink-Co.png ||  http://localhost/astral-image/kitchen/A1---AF300176CHBR---Sink-Co.png"
"AF300186CHBR","http://localhost/astral-image/kitchen/A1---AF300186CHBR---Sink-Co.png ||  http://localhost/astral-image/kitchen/A1---AF300186CHBR---Sink-Co.png"
"AF300196CHBR","http://localhost/astral-image/kitchen/A1---AF300276CHBR---Sink-Mi.png ||  http://localhost/astral-image/kitchen/A1---AF300276CHBR---Sink-Mi.png"
"AF300156CHBR","http://localhost/astral-image/alind/A1---AF300156CHBR---Bib-Coc.png ||  http://localhost/astral-image/alind/A1---AF300156CHBR---Bib-Coc.png"
"AF300161CHBR","http://localhost/astral-image/alind/A1---AF300161CHBR---Bib-Coc.png ||  http://localhost/astral-image/alind/A1---AF300161CHBR---Bib-Coc.png"
"AF300126CHBR","http://localhost/astral-image/alind/A1---AF300126CHBR---Exposed.png ||  http://localhost/astral-image/alind/A1---AF300126CHBR---Exposed.png"
"AF300126CHBR","http://localhost/astral-image/alind/A1---AF300166CHBR---Angle-C.png ||  http://localhost/astral-image/alind/A1---AF300166CHBR---Angle-C.png"
"AF300126CHBR","http://localhost/astral-image/alind/A1---AF300171CHBR---Angle-C.png ||  http://localhost/astral-image/alind/A1---AF300171CHBR---Angle-C.png"
"AF300166CHBR","http://localhost/astral-image/alind/A1---AF300166CHBR---Angle-C.png ||  http://localhost/astral-image/alind/A1---AF300166CHBR---Angle-C.png"
"AF300171CHBR","http://localhost/astral-image/alind/A1---AF300171CHBR---Angle-C.png ||  http://localhost/astral-image/alind/A1---AF300171CHBR---Angle-C.png"
"",""
